"geoid","neighborhood","parks_mindist_topcode","parks_aland_1mi","library_mindist_topcode","grocery_mindist_topcode","n_grocery_0.5mi","walk_duration","walk_distance","walk_status","transit_duration","transit_distance","transit_status","NAME","variable","median_rent_est","median_rent_moe","tract_aland_for_landuse","singlefamily_aland","multifamily_aland","tract_pct_singlefamily","tract_pct_multifamily","walk_distance_bool","transit_duration_bool","median_rent_bool","parks_aland_1mi_scale","library_mindist_scale","n_grocery_0.5mi_scale","median_rent_bool_score","walk_distance_bool_score","transit_duration_bool_score","parks_aland_1mi_scale_score","library_mindist_scale_score","n_grocery_0.5mi_scale_score","tract_pct_singlefamily_score","tract_pct_multifamily_score","overall_score","avg_nhood_score","avg_nhood_rank"
"17031292400","North Lawndale",0.398375182616816,0.0262578152727332,0.89458561032681,0.281731022912645,2,127.633333333333,6.10559353030303,"OK",36.1166666666667,7.69195423484849,"OK","Census Tract 2924, Cook County, Illinois","DP04_0134",1171,238,3568950.45864809,222139.935634729,1114268.25233438,0.0622423701893793,0.312211745510321,0,1,1,0.0274204424253665,0.051042610610628,0.181818181818182,0.25,0,0.15,0.00274204424253665,0.0051042610610628,0.0181818181818182,0.00311211850946897,0.0312211745510321,0.460361416545919,0.39745789575415,24
"17031081402","Streeterville",0.0928157534264456,0.180033421732426,0.74560161247021,0.317736635079792,1,22.8166666666667,1.09174921969697,"OK",18.0666666666667,1.0954774469697,"OK","Census Tract 814.02, Cook County, Illinois","DP04_0134",2304,149,5268603.49985129,0,574167.920330275,0,0.108979147955712,1,1,0,0.188004829190112,0.0612418001813357,0.0909090909090909,0,0.15,0.15,0.0188004829190112,0.00612418001813357,0.00909090909090909,0,0.0108979147955712,0.344913486823625,0.409056487452445,22
"17031010503","Rogers Park",0.188464728715283,0.126915675822631,0.660757690385378,0.200127109579795,7,174.3,8.52024206060606,"OK",47.1333333333333,8.80296596212121,"OK","Census Tract 105.03, Cook County, Illinois","DP04_0134",836,205,2086006.04103273,15104.1132050555,923726.760252554,0.00724068526550277,0.442820750315391,0,0,1,0.132535168886832,0.0691054915140686,0.636363636363636,0.25,0,0,0.0132535168886832,0.00691054915140686,0.0636363636363636,0.000362034263275139,0.0442820750315392,0.378444538971268,0.340171524575214,36
"17031071000","Lincoln Park",0.0657335245978058,0.0684893660509229,0.27879380718684,0.276152033203382,2,70.8,3.41816303787879,"OK",29.2166666666667,4.39744406818182,"OK","Census Tract 710, Cook County, Illinois","DP04_0134",2285,197,3493894.0580231,561757.214805425,704643.231084573,0.160782555359815,0.201678476617368,0,1,0,0.071521895444948,0.16378407191513,0.181818181818182,0,0,0.15,0.0071521895444948,0.016378407191513,0.0181818181818182,0.00803912776799072,0.0201678476617368,0.219919390347554,0.252783979481954,68
"17031252101","Austin",0,0.248339898963928,0.963239770808275,0.316918810377453,1,166.033333333333,8.06229147727273,"OK",66.1,8.32885972727273,"OK","Census Tract 2521.01, Cook County, Illinois","DP04_0134",776,188,9154944.49172592,442741.327344617,701441.467985287,0.04836089697155,0.0766188662988878,0,0,1,0.259335737978665,0.047404588503926,0.0909090909090909,0.25,0,0,0.0259335737978665,0.0047404588503926,0.00909090909090909,0.0024180448485775,0.00766188662988878,0.299844873217634,0.368089115064338,31
"17031221200","Logan Square",0,0.15634892917317,0.267087778252387,0.375455161455132,3,108.216666666667,5.22946012121212,"OK",34.65,5.45128964393939,"OK","Census Tract 2212, Cook County, Illinois","DP04_0134",1579,184,3553308.4226805,429546.150075669,1199744.0478028,0.120886255562255,0.337641404879162,0,1,0,0.163271649454877,0.170962465091284,0.272727272727273,0,0,0.15,0.0163271649454877,0.0170962465091284,0.0272727272727273,0.00604431277811277,0.0337641404879162,0.250504591993372,0.291951533669141,55
"17031611800","New City",0.289616979300158,0.158627280707709,0.654933627193384,0.133546851515925,4,156.683333333333,7.71432359848485,"OK",53.3833333333333,8.46928962121212,"OK","Census Tract 6118, Cook County, Illinois","DP04_0134",896,106,3530160.55445135,562489.397551653,922396.888021215,0.159338191245263,0.261290350337783,0,0,1,0.165650880416352,0.0697200190520979,0.363636363636364,0.25,0,0,0.0165650880416352,0.00697200190520979,0.0363636363636364,0.00796690956226317,0.0261290350337783,0.343996670906523,0.356254913586274,33
"17031161300","Irving Park",0.32297534293554,0.0723009998529602,0.971465069960321,0.104920544723681,2,146.433333333333,7.07368987878788,"OK",47.9166666666667,7.31975287878788,"OK","Census Tract 1613, Cook County, Illinois","DP04_0134",966,88,5355288.43089509,1037020.88468486,1306700.42231153,0.193644263622143,0.244001875748293,0,0,1,0.0755022983889765,0.0470032185178283,0.181818181818182,0.25,0,0,0.00755022983889765,0.00470032185178283,0.0181818181818182,0.00968221318110714,0.0244001875748293,0.314514770628435,0.297351779920299,53
"17031835600","Fuller Park",0.381503533598043,0.116496882652256,0.624017813488607,0.398326633552988,1,129.816666666667,6.33363676515152,"OK",34.9666666666667,7.14328345454545,"OK","Census Tract 8356, Cook County, Illinois","DP04_0134",547,217,9892253.08966899,418695.167095585,509823.775771912,0.0423255615581501,0.0515376801574505,0,1,1,0.121655058896618,0.0731741690361472,0.0909090909090909,0.25,0,0.15,0.0121655058896618,0.00731741690361472,0.00909090909090909,0.0021162780779075,0.00515376801574505,0.435843877977838,0.431408302151358,15
"17031611900","New City",0.00349776796752917,0.126373457085496,0.321606020599854,0.243546383475466,5,154.866666666667,7.62173928787879,"OK",49.75,8.52024206060606,"OK","Census Tract 6119, Cook County, Illinois","DP04_0134",764,244,7033321.44030929,439170.720516798,817009.766707106,0.0624414402560685,0.116162722497605,0,0,1,0.131968942126946,0.141981126101478,0.454545454545455,0.25,0,0,0.0131968942126946,0.0141981126101478,0.0454545454545455,0.00312207201280342,0.0116162722497605,0.337587896539952,0.356254913586274,33
